# Constructed from biom file
#OTU ID	32I9UAPQ.518112	32I9UNA9.518098	38U4VAHB.518100	38U4VNBW.518090	41E1KAMA.517991	41E1KNBP.517985	59S9WAIH.518013	59S9WNC6.518055	5EKFOAO4.518164	5EKFONB3.518125	5TA9VAT9.518088	5TA9VN6K.518161	6G2KBASQ.517999	6G2KBNS6.518045	82S3MAZ4.518145	82S3MNBY.518050	8XBKGABK.517998	8XBKGN9F.518085	A8A34AP9.518086	A8A34NCW.518023	BFJMKAKB.518159	BFJMKNMP.518102	C0095.N.518123	C0095.T.518141	C0112.N.518001	C0112.T.518024	C0133.N.518051	C0133.T.518133	C0134.N.518072	C0134.T.517988	C0149.N.518039	C0149.T.518132	C0154.N.518002	C0154.T.518091	C0159.N.518042	C0159.T.518087	C0186.N.518143	C0186.T.518019	C0195.N.518110	C0195.T.517986	C0198.N.518081	C0198.T.518166	C0206.N.518065	C0206.T.518053	C0209.N.517984	C0209.T.518128	C0211.N.518117	C0211.T.518096	C0212.N.518167	C0212.T.518155	C0225.N.518047	C0225.T.518033	C0230.N.517992	C0230.T.518144	C0235.N.517993	C0235.T.518049	C0240.N.518020	C0240.T.518052	C0241.N.518043	C0241.T.518067	C0245.N.518071	C0245.T.518151	C0252.N.518016	C0252.T.518006	C0256.N.518170	C0256.T.518080	C0258.N.518014	C0258.T.517997	C0268.N.518089	C0268.T.518114	C0269.N.518130	C0269.T.518150	C0270.N.518041	C0270.T.518163	C0271.N.518022	C0271.T.518078	C0275.N.518076	C0275.T.518032	C0282.N.518138	C0282.T.518000	C0285.N.518084	C0285.T.518044	C0294.N.517987	C0294.T.518134	C0306.N.518003	C0306.T.518122	C0308.N.518154	C0308.T.518162	C0311.N.518124	C0311.T.518131	C0314.T.518025	C0315.N.518021	C0315.T.518034	C0318.N.518105	C0318.T.518140	C0322.N.518165	C0322.T.518018	C0325.N.518109	C0325.T.518083	C0330.N.518148	C0330.T.518035	C0332.N.518027	C0332.T.518017	C0333.N.518126	C0333.T.518046	C0334.N.518066	C0334.T.518147	C0335.N.518107	C0335.T.518115	C0341.N.518101	C0341.T.518113	C0342.N.518068	C0342.T.518093	C0344.N.518103	C0344.T.518029	C0349.N.517989	C0349.T.518111	C0355.N.518077	C0355.T.518157	C0362.N.518069	C0362.T.518026	C0366.N.518094	C0366.T.518172	C0371.N.518009	C0371.T.518139	C0374.N.518099	C0374.T.518127	C0378.N.518158	C0378.T.518104	C0388.N.518136	C0388.T.518015	C0394.N.518031	C0394.T.518064	C0395.N.518054	C0395.T.518075	C0398.N.518152	C0398.T.518092	C0399.N.518011	C0399.T.518153	C1.S.518137	C1.T.518120	C10.S.517995	C10.T.518056	C3.S.517996	C3.T.517994	C4.S.518169	C4.T.518118	C6.S.518082	C6.T.518061	G2OD5ABL.518057	G2OD5N55.518146	G3UBQAJU.518060	G3UBQNDP.518121	GQ6LSABJ.518010	GQ6LSNI6.518106	HZIMMAM6.518095	HZIMMNL5.518062	I7ROLN9P.518079	JIDZEAPD.518149	JIDZEN4J.518073	KIXFRARY.518160	KIXFRNL2.518129	LRQ9WAHA.518036	LRQ9WN6C.518048	MQE9OAS7.518008	MQE9ONGV.518038	MQETMAZC.518171	MQETMNL4.518037	O436FAO8.518097	O436FNP3.518007	OTGGZAZO.518108	OTGGZN5Y.518063	QFHRSAG2.518005	QFHRSNIH.518116	R8J9ZAGC.518059	R8J9ZNOW.518040	TV28IANZ.518070	TV28INUO.518004	UEL2GAPI.518173	UEL2GN92.518058	UTWNWANU.518168	UTWNWN3P.518012	UZ65XAS5.518119	UZ65XN27.518028	XBS5MA8H.517990	XBS5MNEH.518074	XZ33PA3O.518135	XZ33PN7O.518030	YOTV6ASH.518142	YOTV6NC8.518156
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000168406871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000786782061369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000368120743604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000177179305457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000391926317852	0.000290191526407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.00135501355014	0.00373831775701	0.018320610687	0.0122628412772	0.00283165793572	0.0234976086504	0.0011655011655	0.0105263157895	0.00596964011598	0.0110986232088	0.000159974404095	0.00471857094708	0.0065274151436	0.015964331943	0.000468384074941	0.000274725274725	0.0169491525424	0.0	0.0125	0.0196923961478	0.00170212765957	0.017130620985	0.0387243735763	0.0040140491721	0.0122311261071	0.00641025641026	0.0127742293807	0.00148588410104	0.00842034355002	0.0	0.000317107975266	0.00466045272969	0.00683148991542	0.0	0.00336283185841	0.00277328403051	0.00394144144144	0.003359462486	0.0025332488917	0.00135869565217	0.00282645562465	0.0004662004662	0.00204678362573	0.0018395879323	0.00539693593315	0.00582524271845	0.00285242456088	0.000482741974415	0.00147655961609	0.0	0.00504668180671	0.00109289617486	0.0107948969578	0.00147492625369	0.00198938992042	0.000218007412252	0.00198150594452	0.00275896664159	0.00291450777202	0.00217944061024	0.0342298288509	0.00268404907975	0.00649464630507	0.00335570469799	0.00219983790668	0.00255885363357	0.00329609961546	0.00107056829334	0.00467289719626	0.00143061516452	0.00124968757811	0.00121052052383	0.00112317484088	0.0	0.00403726708075	0.00685292567211	0.00289066485292	0.000158428390368	0.0077380952381	0.006038647343	0.00135903138127	0.0014742014742	0.0110149488592	0.00419847328244	0.00431172149473	0.00275482093664	0.0035669324381	0.000509683995923	0.00242557883131	0.00100795161832	0.0	0.00295937584073	0.00104876769795	0.000736241487208	0.000380420999239	0.00877926421405	0.0	0.00300075018755	0.000632511068944	0.000822368421053	0.00051652892562	0.00271886895052	0.00214684413912	0.00336640680369	0.0147286821705	0.0153778558875	0.0159540523293	0.00174912543728	0.000617856039543	0.00349475786321	0.000471586889884	0.00293186349244	0.00578703703704	0.000977380619939	0.00172860847018	0.00233022636485	0.000735835172921	0.00259852750108	0.00356052899288	0.00209533787323	0.0	0.00181323662738	0.00102920365367	0.00179063360882	0.000591715976331	0.0036299765808	0.00107991360691	0.00222222222222	0.000208181534298	0.000283326250177	0.000569638279692	0.00621853716316	0.00833912439194	0.0010296010296	0.00193648334624	0.00446428571429	0.00423728813559	0.00194115243155	0.00425129900803	0.000390320062451	0.00146305779078	0.00110083663584	0.00245098039216	0.520547945205	0.462962962963	0.00485908649174	0.00173276857913	0.00294406280667	0.00240384615385	0.00649448723758	0.0119712689545	0.00295811925891	0.00373007799254	0.0122068743977	0.0186872765025	0.0040676514665	0.0106233401031	0.0111741752394	0.0106744298884	0.0521594684385	0.0108601965178	0.00229654083537	0.00666495770315	0.00497854077253	0.0098452883263	0.0224550898204	0.0134939759036	0.000973472864444	0.000135372952484	0.0134615384615	0.0202608585539	0.0573755321118	0.00881834215168	0.022780034823	0.000819224467504	0.00212596332713	0.181608310889	0.0444392193746	0.00509832483613	0.00449713818479	0.000523377529658	0.0	0.00154063422776	0.00491692099017	0.0	0.000320718409237	0.0532963647566	0.0328293736501	0.00213447171825	0.00650263620387
k__Bacteria;p__Bacteroidetes	0.310704607046	0.5	0.395114503817	0.459046737621	0.514936995611	0.548970679975	0.468531468531	0.471368421053	0.404741599864	0.393790390559	0.243321068629	0.339175373554	0.344321148825	0.295987343593	0.64199843872	0.603983516484	0.345762711864	0.127659574468	0.470833333333	0.46428058071	0.34170212766	0.051391862955	0.281700835232	0.472152533869	0.387600168705	0.333333333333	0.485143015829	0.513372956909	0.433142472213	0.393152124944	0.312668463612	0.236351531292	0.483571893299	0.278301886792	0.596637168142	0.214236191357	0.621058558559	0.674580067189	0.642178594047	0.474184782609	0.778405879028	0.581818181818	0.743421052632	0.137969094923	0.583739554318	0.31067961165	0.510734124005	0.553705044654	0.542635658915	0.42936802974	0.54150895786	0.278506375228	0.488714425908	0.371189773845	0.480769230769	0.36886854153	0.360468956407	0.574617506897	0.691062176166	0.390119869234	0.579462102689	0.392254601227	0.529050377392	0.384228187919	0.536065763575	0.653531218014	0.554477201978	0.502096529574	0.520488856937	0.363376251788	0.628717820545	0.549466270496	0.630475477349	0.660022459293	0.466149068323	0.502372166579	0.728107464717	0.656844106464	0.58630952381	0.518115942029	0.57141092167	0.459459459459	0.441384736428	0.447328244275	0.53784733312	0.615702479339	0.530843474612	0.598878695209	0.453803748622	0.244148280883	0.0395846852693	0.505111649179	0.378080755113	0.404932817964	0.282906416434	0.440217391304	0.508710801394	0.612903225806	0.689226228126	0.645559210526	0.683884297521	0.552474170745	0.542722198368	0.519666902906	0.525581395349	0.542179261863	0.419910657307	0.474387806097	0.506641952425	0.518472291563	0.0716812072624	0.549196669403	0.517361111111	0.591454900866	0.530250648228	0.608854860186	0.132818248712	0.553919445647	0.55518819939	0.504976427449	0.341613379242	0.495920217588	0.60710150521	0.39132231405	0.280177514793	0.63243559719	0.548596112311	0.457647058824	0.327469553451	0.549511262218	0.59270863002	0.479123482381	0.684503127172	0.443243243243	0.337335398916	0.331845238095	0.194915254237	0.533816918676	0.48275862069	0.480483996877	0.596927578639	0.625275209159	0.609068627451	0.027397260274	0.0	0.541885325559	0.518290335002	0.271835132483	0.192788461538	0.264763630871	0.139265762171	0.519850537132	0.260766361478	0.431737873434	0.437882108663	0.261293084993	0.368848617404	0.187300461156	0.183406113537	0.308637873754	0.218583002931	0.162193196498	0.252499359139	0.397596566524	0.269338959212	0.519086826347	0.626987951807	0.487709905086	0.488696358468	0.334615384615	0.380904140813	0.384786229872	0.11855771115	0.149158444573	0.29036956126	0.31823013553	0.0915736821855	0.0625440865272	0.375333818888	0.345053147997	0.393405443126	0.677844128005	0.101296700475	0.266022380468	0.0	0.00641436818473	0.364756623537	0.347948164147	0.490928495197	0.522671353251
k__Bacteria;p__Chlorobi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000195963158926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000195963158926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000168406871	0.0	0.0	0.002885042166	0.000162654521796	0.0	0.0	0.0	0.000281531531532	0.000223964165733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000184569952012	0.0	0.000252334090336	0.000182149362477	0.00294406280667	0.000491642084562	0.000663129973475	0.0	0.000165125495376	0.00125407574618	0.0	0.0	0.00244498777506	0.000383435582822	0.00105318588731	0.0	0.00602060900776	0.010747185261	0.0	8.92140244446e-05	0.0	0.00572246065808	0.00162459385154	0.000220094640695	0.0	0.0	0.00170807453416	0.00158144438587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00143724049824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000749625187406	0.00123571207909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00576217915139	0.000245941957698	0.0	0.0	0.0	0.0	0.0	0.0	0.000653594771242	0.0	0.00580818812863	0.00284819139846	0.000296120817293	0.0	0.0028314028314	0.0	0.00127551020408	0.0	0.0	0.0	0.0	0.0	0.000440334654337	0.00122549019608	0.0	0.0555555555556	0.0	0.0	0.0	0.000480769230769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000323467572376	0.00232558139535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000364166059723	0.0	0.0	0.0	0.000128386185646	0.000169548999661	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.19593495935	0.15046728972	0.505038167939	0.498380379454	0.140591816509	0.312538989395	0.399766899767	0.312421052632	0.583660242197	0.590193874684	0.559110542313	0.623750140434	0.479765013055	0.487127858478	0.316003122561	0.290796703297	0.369491525424	0.425531914894	0.445416666667	0.459680896938	0.617872340426	0.886509635974	0.610098709188	0.324636226794	0.429354702657	0.373397435897	0.421827270203	0.197251114413	0.339339845066	0.204835560895	0.24179483114	0.318686196183	0.414443721535	0.285714285714	0.264247787611	0.292812572221	0.341779279279	0.301231802912	0.316656111463	0.184782608696	0.197003957038	0.270396270396	0.194883040936	0.0717439293598	0.353760445682	0.182200647249	0.396937396787	0.336712527154	0.303433001107	0.302973977695	0.424425939944	0.22204007286	0.368989205103	0.212881022616	0.24801061008	0.052757793765	0.287813738441	0.35089039378	0.289507772021	0.223755902652	0.298288508557	0.1413599182	0.40775846937	0.200503355705	0.378140558064	0.206755373593	0.411829335287	0.263359800161	0.419122933142	0.213876967096	0.298425393652	0.226037195994	0.271309122676	0.13840539023	0.480745341615	0.409066947812	0.196565209998	0.10329531052	0.342261904762	0.239130434783	0.244872745243	0.207862407862	0.497246262785	0.402671755725	0.323698498882	0.250688705234	0.431389005455	0.315494393476	0.169570011025	0.0990032478441	0.0123296560675	0.336023675007	0.520188778186	0.300018406037	0.0688562008623	0.434364548495	0.335656213705	0.30832708177	0.253847775669	0.239309210526	0.178202479339	0.327895595432	0.280807213396	0.442062367116	0.336434108527	0.380492091388	0.450329717081	0.426536731634	0.367624343528	0.382176734898	0.0292383871728	0.421367421133	0.398148148148	0.382435074002	0.437770095073	0.365679094541	0.239146431199	0.400173235167	0.234486266531	0.288632792038	0.096901131333	0.466364460562	0.342724816673	0.287878787879	0.19201183432	0.284426229508	0.315334773218	0.444967320261	0.0757780784844	0.387590310242	0.344346340074	0.472904945218	0.152883947186	0.371685971686	0.335786212239	0.361607142857	0.444915254237	0.352370249285	0.378365611715	0.220921155347	0.21433796635	0.339718185821	0.269607843137	0.164383561644	0.203703703704	0.349465500486	0.283788987293	0.337095191364	0.536057692308	0.524241051201	0.674181963288	0.244278374591	0.47490674805	0.523771281722	0.528665359326	0.318561335902	0.461177940947	0.608371763037	0.535985767427	0.598671096346	0.664195828305	0.334577292952	0.646244552679	0.494935622318	0.286216596343	0.357784431138	0.258795180723	0.371379897785	0.176661702992	0.534615384615	0.213878688109	0.522117342217	0.567313345091	0.510446894951	0.307937374841	0.405128886527	0.538668718738	0.421819891841	0.601845108036	0.639411283729	0.573621772505	0.314040728832	0.14096803184	0.559511698881	0.927807486631	0.929441949968	0.488601355514	0.540172786177	0.362860192102	0.343936731107
k__Bacteria;p__Fusobacteria	0.491598915989	0.339563862928	0.0607633587786	0.0120314669135	0.278918306669	0.0796423372843	0.000582750582751	0.00105263157895	0.000170561146171	0.000140488901377	0.179651255799	0.00719020334794	0.00685378590078	0.0117934704444	0.0	0.000137362637363	0.0338983050847	0.0212765957447	0.0673611111111	0.0493028604283	0.000425531914894	0.0149892933619	0.0470766894457	0.125940792775	0.087726697596	0.165064102564	0.0591502360455	0.272659732541	0.0931289996632	0.382339690644	0.437609005866	0.419662671993	0.00520494469746	0.415094339623	0.0315044247788	0.458747400046	0.00675675675676	0.00156774916013	0.00569981000633	0.177309782609	0.0048049745619	0.0909090909091	0.000438596491228	0.0	0.00470055710306	0.0152103559871	0.0394835610269	0.0627564566739	0.0374677002584	0.0724907063197	0.00630835225839	0.473041894353	0.00981354268891	0.28121927237	0.0557029177719	0.436014824504	0.000825627476882	0.016052169551	0.00825777202073	0.369051943335	0.0537897310513	0.451559304703	0.0384412848868	0.380453020134	0.000810466597198	0.0220061412487	0.0186778978209	0.184583816576	0.0190510424155	0.337625178827	0.0358660334916	0.162209750193	0.0262074129539	0.0322852330152	0.00124223602484	0.0300474433316	0.0144533242646	0.229245880862	0.0184523809524	0.211352657005	0.155423770694	0.288452088452	0.0177025963808	0.0980916030534	0.0771319067391	0.0895316804408	0.0083927822073	0.0188583078491	0.166482910695	0.146376973905	0.0353666450357	0.00161420500404	0.0120608285265	0.275170255844	0.643038295714	0.0234113712375	0.0197444831591	0.0017504376094	0.00210837022981	0.00164473684211	0.0154958677686	0.0674279499728	0.157148990983	0.0	0.0201550387597	0.0399824253076	0.097851520953	0.0744627686157	0.10874266296	0.055416874688	0.87833058241	0.00797466869943	0.0613425925926	0.00125663222564	0.00388936905791	0.004327563249	0.580206033848	0.0242529233434	0.194557477111	0.0303823991619	0.548450565667	0.0119673617407	0.0271452463656	0.212947658402	0.390828402367	0.00304449648712	0.0550755939525	0.058954248366	0.554907879671	0.000141663125089	0.0193677015095	0.0106603494226	0.144544822794	0.0409266409266	0.295894655306	0.237244897959	0.254237288136	0.00909276665304	0.0406235238545	0.000780640124902	0.00146305779078	0.00286217525319	0.0796568627451	0.0	0.0	0.0610301263362	0.0573738929534	0.0696761530913	0.206730769231	0.122489049992	0.00438946528332	0.112097150864	0.0796880298406	0.0281079344684	0.00992040604453	0.377542282167	0.111701296672	0.0	0.0116448326055	0.00431893687708	0.0	0.471365006459	0.000256344527044	0.00360515021459	0.384903891233	0.0542664670659	0.0578313253012	0.0632757361889	0.293217815081	0.0875	0.259592250222	0.00351656487137	0.00489907897315	0.00362739408009	0.396868742035	0.269997342546	0.0315505963832	0.0042323066071	0.0	0.000204415372036	0.0	0.0	0.0052638336115	0.00339097999322	0.0	0.00320718409237	0.0	0.00280777537797	0.106723585912	0.0961335676626
k__Bacteria;p__GN02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000221926320462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
